AnnexID,Date Order,City,County,Annexation Type,Ordinance Date,Effective Date,Report Date,Authorization Number,Authorization Type,Acreage,Comments,Attachments,OrdDate,EffDate,RepDate,AuthNumber,Acr,Com
304140,17121,Jasper,Pickens,Annex,"07-11-2005	","08-01-2005	","01-00-1900	","41-098	",Resolution,"4.5	","Peter Darnell property map and parcel number 41-098; 100 Darnell Road; Jasper GA 30143 of 4.5 acres was annexed into the City of Jasper as Commercial-2 by a vote of the city council of 3 to 0 on Jul 11; 2005	",,7/11/2005,8/1/2005,1/0/1900,41-098,4.5,Peter Darnell property map and parcel number 41-098; 100 Darnell Road; Jasper GA 30143 of 4.5 acres was annexed into the City of Jasper as Commercial-2 by a vote of the city council of 3 to 0 on Jul 11; 2005
304141,17122,Jasper,Pickens,Annex,"07-11-2005	","08-01-2005	","01-00-1900	","43B-102	",Resolution,"0.85	","Pauley & Ray Properties map and parcel number 43B-102 of .85 acres located at 851 East Church Street; Jasper; GA 30143 was annexed into the City of Jasper as Commercial-2 by a vote of the City Council of 3 to 0 on Jul 11; 2005.	",,7/11/2005,8/1/2005,1/0/1900,43B-102,0.85,Pauley & Ray Properties map and parcel number 43B-102 of .85 acres located at 851 East Church Street; Jasper; GA 30143 was annexed into the City of Jasper as Commercial-2 by a vote of the City Council of 3 to 0 on Jul 11; 2005.
304142,17123,Sugar Hill,Gwinnett,Annex,"06-13-2005	","07-01-2005	","01-00-1900	","AX-05-001	",Ordinance,"23.47	","	",,6/13/2005,7/1/2005,1/0/1900,AX-05-001,23.47,
304143,17124,Sugar Hill,Gwinnett,Annex,"05-09-2005	","06-01-2005	","01-00-1900	","AX-05-004	",Ordinance,"10.01	","	",,5/9/2005,6/1/2005,1/0/1900,AX-05-004,10.01,
304144,17125,Sugar Hill,Gwinnett,Annex,"05-09-2005	","06-01-2005	","01-00-1900	","AX-05-002	",Ordinance,"36.36	","	",,5/9/2005,6/1/2005,1/0/1900,AX-05-002,36.36,
304145,17126,Sugar Hill,Gwinnett,Annex,"05-09-2005	","06-01-2005	","01-00-1900	","AX-05-003	",Ordinance,"2.86	","	",,5/9/2005,6/1/2005,1/0/1900,AX-05-003,2.86,
304146,17127,Cartersville,Bartow,Annex,"05-05-2005	","06-01-2005	","01-00-1900	","28-05	",Ordinance,"0.459	","Juana Cruz; 34 Magnolia Drive	",,5/5/2005,6/1/2005,1/0/1900,28-05,0.459,Juana Cruz; 34 Magnolia Drive
304147,17128,Cartersville,Bartow,Annex,"04-07-2005	","05-01-2005	","01-00-1900	","20-05	",Ordinance,"108.917	","Mayfern Smith Thacker; Paga Mine Rd; AZ05-06	",,4/7/2005,5/1/2005,1/0/1900,20-05,108.917,Mayfern Smith Thacker; Paga Mine Rd; AZ05-06
304148,17129,Warner Robins,Houston,Annex,"07-18-2005	","08-01-2005	","01-00-1900	","45-05	",Ordinance,"1.498	","Anothony J. Bennette - Parcel 2; containing 0.691 acres and Parcel 3; containing 0.807	",,7/18/2005,8/1/2005,1/0/1900,45-05,1.498,Anothony J. Bennette - Parcel 2; containing 0.691 acres and Parcel 3; containing 0.807
304149,17130,Warner Robins,Houston,Annex,"07-18-2005	","08-01-2005	","01-00-1900	","44-05	",Ordinance,"15.665	","William Self - Tract 1; containing 15.665 acres	",,7/18/2005,8/1/2005,1/0/1900,44-05,15.665,William Self - Tract 1; containing 15.665 acres
304150,17131,Kennesaw,Cobb,Annex,"05-02-2005	","06-01-2005	","01-00-1900	","2005-13	",Ordinance,"0.91	","Rezoned property to be inclusion of previously approved annexation and rezoning under ordinance 2003-24 (FST)	",,5/2/2005,6/1/2005,1/0/1900,2005-13,0.91,Rezoned property to be inclusion of previously approved annexation and rezoning under ordinance 2003-24 (FST)
